soldPrice,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,beds,baths,area,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus
$2.40M,2400000,"8 Deep Well Ln, Los Altos, CA 94022",8 Deep Well Ln,Los Altos,CA,94022,2,2,1840,CONDO,RECENTLY_SOLD
$1.51M,1511000,"73 3rd St APT 32, Los Altos, CA 94022",73 3rd St APT 32,Los Altos,CA,94022,2,2,1344,CONDO,RECENTLY_SOLD
$1.15M,1150000,"226 W Edith Ave APT 23, Los Altos, CA 94022",226 W Edith Ave APT 23,Los Altos,CA,94022,2,2,1131,CONDO,RECENTLY_SOLD
$1.70M,1695000,"4880 El Camino Real #52, Los Altos, CA 94022",4880 El Camino Real #52,Los Altos,CA,94022,,,,CONDO,RECENTLY_SOLD
$1.45M,1450000,"4880 El Camino Real #23, Los Altos, CA 94022",4880 El Camino Real #23,Los Altos,CA,94022,2,2,1141,CONDO,RECENTLY_SOLD
$1.19M,1188000,"470 Gabilan St APT 4, Los Altos, CA 94022",470 Gabilan St APT 4,Los Altos,CA,94022,2,2,1140,CONDO,RECENTLY_SOLD
$1.45M,1450000,"4880 El Camino Real #23, Los Altos, CA 94022",4880 El Camino Real #23,Los Altos,CA,94022,,,,CONDO,RECENTLY_SOLD
$1.45M,1450000,"4880 El Camino Real, Los Altos, CA 94022",4880 El Camino Real,Los Altos,CA,94022,0,,1980,CONDO,RECENTLY_SOLD
$1.69M,1688000,"396 1st St #7, Los Altos, CA 94022",396 1st St #7,Los Altos,CA,94022,2,2,1406,CONDO,RECENTLY_SOLD
$1.15M,1150000,"226 W Edith Ave APT 16, Los Altos, CA 94022",226 W Edith Ave APT 16,Los Altos,CA,94022,2,2,968,CONDO,RECENTLY_SOLD
$1.16M,1160000,"4388 El Camino Real UNIT 128, Los Altos, CA 94022",4388 El Camino Real UNIT 128,Los Altos,CA,94022,2,2,1200,CONDO,RECENTLY_SOLD
$1.81M,1815000,"4388 El Camino Real UNIT 68, Los Altos, CA 94022",4388 El Camino Real UNIT 68,Los Altos,CA,94022,3,3,1600,CONDO,RECENTLY_SOLD
$1.90M,1900000,"86 3rd St UNIT 206, Los Altos, CA 94022",86 3rd St UNIT 206,Los Altos,CA,94022,2,2,1183,CONDO,RECENTLY_SOLD
$1.19M,1188000,"662 N San Antonio Rd, Los Altos, CA 94022",662 N San Antonio Rd,Los Altos,CA,94022,2,2,1077,CONDO,RECENTLY_SOLD
$1.54M,1540000,"77 Los Altos Sq, Los Altos, CA 94022",77 Los Altos Sq,Los Altos,CA,94022,2,3,1568,CONDO,RECENTLY_SOLD
$1.79M,1790000,"5100 El Camino Real APT 110, Los Altos, CA 94022",5100 El Camino Real APT 110,Los Altos,CA,94022,3,2,1410,CONDO,RECENTLY_SOLD
"$860,000 ",860000,"4388 El Camino Real UNIT 198, Los Altos, CA 94022",4388 El Camino Real UNIT 198,Los Altos,CA,94022,1,1,787,CONDO,RECENTLY_SOLD
"$780,000 ",780000,"460 Lassen St APT 9, Los Altos, CA 94022",460 Lassen St APT 9,Los Altos,CA,94022,1,1,944,CONDO,RECENTLY_SOLD
$1.88M,1875000,"1 W Edith Ave APT B107, Los Altos, CA 94022",1 W Edith Ave APT B107,Los Altos,CA,94022,2,2,1568,CONDO,RECENTLY_SOLD
$2.20M,2200000,"6 Bay Tree Ln, Los Altos, CA 94022",6 Bay Tree Ln,Los Altos,CA,94022,2,2,1840,CONDO,RECENTLY_SOLD
$2.00M,2000000,"124 2nd St APT 11, Los Altos, CA 94022",124 2nd St APT 11,Los Altos,CA,94022,3,2,1505,CONDO,RECENTLY_SOLD
$1.40M,1400000,"226 W Edith Ave APT 33, Los Altos, CA 94022",226 W Edith Ave APT 33,Los Altos,CA,94022,2,2,1181,CONDO,RECENTLY_SOLD
$2.92M,2920000,"673 Springer Ter, Los Altos, CA 94024",673 Springer Ter,Los Altos,CA,94024,,,,CONDO,RECENTLY_SOLD
$1.25M,1250000,"575 Tyndall St APT 2, Los Altos, CA 94022",575 Tyndall St APT 2,Los Altos,CA,94022,2,2,1192,CONDO,RECENTLY_SOLD
$1.65M,1650000,"4880 El Camino Real #33, Los Altos, CA 94022",4880 El Camino Real #33,Los Altos,CA,94022,2,2,1141,CONDO,RECENTLY_SOLD
$1.00M,1001000,"73 3rd St APT 27, Los Altos, CA 94022",73 3rd St APT 27,Los Altos,CA,94022,2,2,1072,CONDO,RECENTLY_SOLD
$1.41M,1410000,"226 W Edith Ave APT 34, Los Altos, CA 94022",226 W Edith Ave APT 34,Los Altos,CA,94022,2,2,1270,CONDO,RECENTLY_SOLD
$1.35M,1350000,"511 Lassen St, Los Altos, CA 94022",511 Lassen St,Los Altos,CA,94022,2,3,1280,CONDO,RECENTLY_SOLD
$1.62M,1625000,"480 Lassen St APT 3, Los Altos, CA 94022",480 Lassen St APT 3,Los Altos,CA,94022,2,2,1284,CONDO,RECENTLY_SOLD
$2.75M,2745000,"1625 Wakefield Ter, Los Altos, CA 94024",1625 Wakefield Ter,Los Altos,CA,94024,,,,CONDO,RECENTLY_SOLD
$1.40M,1400000,"5100 El Camino Real APT 102, Los Altos, CA 94022",5100 El Camino Real APT 102,Los Altos,CA,94022,3,2,1467,CONDO,RECENTLY_SOLD
$4.12M,4125000,"1474 Club View Ter, Los Altos, CA 94024",1474 Club View Ter,Los Altos,CA,94024,,,,CONDO,RECENTLY_SOLD
$1.93M,1925000,"38 3rd St APT 201, Los Altos, CA 94022",38 3rd St APT 201,Los Altos,CA,94022,2,2,1323,APARTMENT,RECENTLY_SOLD
$1.11M,1110000,"226 W Edith Ave APT 10, Los Altos, CA 94022",226 W Edith Ave APT 10,Los Altos,CA,94022,2,2,1072,APARTMENT,RECENTLY_SOLD
$2.20M,2200000,"38 3rd St APT 107, Los Altos, CA 94022",38 3rd St APT 107,Los Altos,CA,94022,2,2,1867,CONDO,RECENTLY_SOLD
"$940,000 ",940000,"1070 Mercedes Ave APT 20, Los Altos, CA 94022",1070 Mercedes Ave APT 20,Los Altos,CA,94022,2,2,1055,CONDO,RECENTLY_SOLD
$1.00M,1000000,"1 W Edith Ave APT C215, Los Altos, CA 94022",1 W Edith Ave APT C215,Los Altos,CA,94022,1,2,1090,CONDO,RECENTLY_SOLD
$1.55M,1550000,"460 Lassen St APT 6, Los Altos, CA 94022",460 Lassen St APT 6,Los Altos,CA,94022,3,2,1337,CONDO,RECENTLY_SOLD
$1.70M,1700000,"100 1st St UNIT 211, Los Altos, CA 94022",100 1st St UNIT 211,Los Altos,CA,94022,1,2,1123,CONDO,RECENTLY_SOLD
"$900,000 ",900000,"150 W Edith Ave APT 10, Los Altos, CA 94022",150 W Edith Ave APT 10,Los Altos,CA,94022,2,2,1092,CONDO,RECENTLY_SOLD
$2.40M,2400000,"100 1st St UNIT 214, Los Altos, CA 94022",100 1st St UNIT 214,Los Altos,CA,94022,2,2,1386,CONDO,RECENTLY_SOLD
$3.45M,3450000,"311 Quinnhill Ave, Los Altos, CA 94024",311 Quinnhill Ave,Los Altos,CA,94024,,,,CONDO,RECENTLY_SOLD
"$920,000 ",920000,"487 Tyndall St APT 5, Los Altos, CA 94022",487 Tyndall St APT 5,Los Altos,CA,94022,2,1,850,CONDO,RECENTLY_SOLD
$1.69M,1689000,"73 3rd St APT 15, Los Altos, CA 94022",73 3rd St APT 15,Los Altos,CA,94022,3,2,1520,CONDO,RECENTLY_SOLD
$1.69M,1688888,"73 3rd St APT 15B, Los Altos, CA 94022",73 3rd St APT 15B,Los Altos,CA,94022,3,2,1520,CONDO,RECENTLY_SOLD
$1.35M,1350000,"17 Farm Rd, Los Altos, CA 94024",17 Farm Rd,Los Altos,CA,94024,2,2,1264,CONDO,RECENTLY_SOLD
$2.67M,2668000,"1615 Randolph Pkwy, Los Altos, CA 94024",1615 Randolph Pkwy,Los Altos,CA,94024,,,,CONDO,RECENTLY_SOLD
$2.42M,2425000,"62 Bay Tree Ln, Los Altos, CA 94022",62 Bay Tree Ln,Los Altos,CA,94022,2,2,1840,CONDO,RECENTLY_SOLD
"$281,000 ",281000,"471 Tyndall St, Los Altos, CA 94022",471 Tyndall St,Los Altos,CA,94022,1,1,566,CONDO,RECENTLY_SOLD
$1.41M,1410000,"549 Lassen St, Los Altos, CA 94022",549 Lassen St,Los Altos,CA,94022,2,2,1207,CONDO,RECENTLY_SOLD
$1.20M,1200000,"110 Lyell St, Los Altos, CA 94022",110 Lyell St,Los Altos,CA,94022,2,2,1240,CONDO,RECENTLY_SOLD
$1.55M,1550000,"889 N San Antonio Rd UNIT 2000, Los Altos, CA 94022",889 N San Antonio Rd UNIT 2000,Los Altos,CA,94022,2,2,1124,CONDO,RECENTLY_SOLD
$2.08M,2075000,"1 W Edith Ave APT D126, Los Altos, CA 94022",1 W Edith Ave APT D126,Los Altos,CA,94022,3,2,1784,CONDO,RECENTLY_SOLD
$1.23M,1227000,"4388 El Camino Real UNIT 130, Los Altos, CA 94022",4388 El Camino Real UNIT 130,Los Altos,CA,94022,2,2,1200,CONDO,RECENTLY_SOLD
"$845,000 ",845000,"101 2nd St APT 11, Los Altos, CA 94022",101 2nd St APT 11,Los Altos,CA,94022,1,1,846,CONDO,RECENTLY_SOLD
$4.05M,4050000,"100 1st St UNIT 314, Los Altos, CA 94022",100 1st St UNIT 314,Los Altos,CA,94022,3,3,1981,CONDO,RECENTLY_SOLD
$2.35M,2355000,"86 3rd St UNIT 303, Los Altos, CA 94022",86 3rd St UNIT 303,Los Altos,CA,94022,3,2,1430,CONDO,RECENTLY_SOLD
$4.33M,4330000,"100 1st St UNIT 302, Los Altos, CA 94022",100 1st St UNIT 302,Los Altos,CA,94022,3,3,2281,CONDO,RECENTLY_SOLD
$1.92M,1915000,"4 Farm Rd, Los Altos, CA 94024",4 Farm Rd,Los Altos,CA,94024,3,2,1785,CONDO,RECENTLY_SOLD
$4.85M,4850000,"305 Quinnhill Rd, Los Altos, CA 94024",305 Quinnhill Rd,Los Altos,CA,94024,,,,CONDO,RECENTLY_SOLD
$2.85M,2853000,"1646 Ben Roe Dr, Los Altos, CA 94024",1646 Ben Roe Dr,Los Altos,CA,94024,,,,CONDO,RECENTLY_SOLD
"$265,000 ",265000,"1 W Edith Ave APT B113, Los Altos, CA 94022",1 W Edith Ave APT B113,Los Altos,CA,94022,1,1,640,CONDO,RECENTLY_SOLD
$2.10M,2098000,"100 1st St UNIT 106, Los Altos, CA 94022",100 1st St UNIT 106,Los Altos,CA,94022,2,2,1395,CONDO,RECENTLY_SOLD
$1.33M,1330000,"1070 Mercedes Ave APT 1, Los Altos, CA 94022",1070 Mercedes Ave APT 1,Los Altos,CA,94022,2,2,960,CONDO,RECENTLY_SOLD
$1.30M,1299000,"1 W Edith Ave APT D129, Los Altos, CA 94022",1 W Edith Ave APT D129,Los Altos,CA,94022,1,2,1283,CONDO,RECENTLY_SOLD
$1.33M,1327500,"4388 El Camino Real UNIT 178, Los Altos, CA 94022",4388 El Camino Real UNIT 178,Los Altos,CA,94022,2,2,1200,CONDO,RECENTLY_SOLD
"$253,000 ",253000,"1 W Edith Ave APT D127, Los Altos, CA 94022",1 W Edith Ave APT D127,Los Altos,CA,94022,1,1,694,CONDO,RECENTLY_SOLD
$3.00M,3000000,"100 1st St, Los Altos, CA 94022",100 1st St,Los Altos,CA,94022,2,2.5,2239,CONDO,RECENTLY_SOLD
$1.42M,1418000,"11 Farm Rd, Los Altos, CA 94024",11 Farm Rd,Los Altos,CA,94024,2,2,1264,CONDO,RECENTLY_SOLD
$3.00M,3000000,"100 1st St UNIT 217, Los Altos, CA 94022",100 1st St UNIT 217,Los Altos,CA,94022,2,2,1672,CONDO,RECENTLY_SOLD
$3.02M,3020000,"1623 Ben Roe Dr, Los Altos, CA 94024",1623 Ben Roe Dr,Los Altos,CA,94024,,,,CONDO,RECENTLY_SOLD
$2.90M,2900000,"100 1st St UNIT 218, Los Altos, CA 94022",100 1st St UNIT 218,Los Altos,CA,94022,2,2,1590,CONDO,RECENTLY_SOLD
$4.45M,4450000,"667 Springer Ter, Los Altos, CA 94024",667 Springer Ter,Los Altos,CA,94024,,,,CONDO,RECENTLY_SOLD
$1.48M,1475000,"100 1st St UNIT 109, Los Altos, CA 94022",100 1st St UNIT 109,Los Altos,CA,94022,1,1.5,1143,CONDO,RECENTLY_SOLD
$1.40M,1395000,"1 W Edith Ave APT B114, Los Altos, CA 94022",1 W Edith Ave APT B114,Los Altos,CA,94022,2,2,1129,CONDO,RECENTLY_SOLD
$1.42M,1420000,"100 1st St UNIT 108, Los Altos, CA 94022",100 1st St UNIT 108,Los Altos,CA,94022,1,2,1132,CONDO,RECENTLY_SOLD
"$253,000 ",253000,"1 W Edith Ave APT C118, Los Altos, CA 94022",1 W Edith Ave APT C118,Los Altos,CA,94022,1,1,704,CONDO,RECENTLY_SOLD
$1.70M,1700000,"889 N San Antonio Rd UNIT 2020, Los Altos, CA 94022",889 N San Antonio Rd UNIT 2020,Los Altos,CA,94022,3,2,1544,CONDO,RECENTLY_SOLD
$2.19M,2185000,"1 W Edith Ave APT C211, Los Altos, CA 94022",1 W Edith Ave APT C211,Los Altos,CA,94022,3,2,1588,CONDO,RECENTLY_SOLD
$1.06M,1060000,"150 W Edith Ave APT 4, Los Altos, CA 94022",150 W Edith Ave APT 4,Los Altos,CA,94022,2,2,1086,CONDO,RECENTLY_SOLD
$1.80M,1799000,"889 N San Antonio Rd UNIT 2030, Los Altos, CA 94022",889 N San Antonio Rd UNIT 2030,Los Altos,CA,94022,3,2,1579,CONDO,RECENTLY_SOLD
$1.80M,1799000,"889 N San Antonio Rd #2030, Los Altos, CA 94022",889 N San Antonio Rd #2030,Los Altos,CA,94022,3,2,1579,APARTMENT,RECENTLY_SOLD
$1.85M,1850000,"15 Farm Rd, Los Altos, CA 94024",15 Farm Rd,Los Altos,CA,94024,3,2,1785,CONDO,RECENTLY_SOLD
$2.10M,2100000,"124 2nd St APT 1, Los Altos, CA 94022",124 2nd St APT 1,Los Altos,CA,94022,3,3,2162,CONDO,RECENTLY_SOLD
$1.41M,1410000,"4388 El Camino Real UNIT 168, Los Altos, CA 94022",4388 El Camino Real UNIT 168,Los Altos,CA,94022,2,2,1200,CONDO,RECENTLY_SOLD
$1.02M,1020000,"487 Tyndall St, Los Altos, CA 94022",487 Tyndall St,Los Altos,CA,94022,2,1,866,CONDO,RECENTLY_SOLD
$1.02M,1020000,"487 Tyndall St, Los Altos, CA 94022",487 Tyndall St,Los Altos,CA,94022,2,1,850,CONDO,RECENTLY_SOLD
$1.41M,1405000,"889 N San Antonio Rd UNIT 2010, Los Altos, CA 94022",889 N San Antonio Rd UNIT 2010,Los Altos,CA,94022,2,2,1124,CONDO,RECENTLY_SOLD
$1.41M,1405000,"889 N San Antonio Rd UNIT 2010, Los Altos, CA 94022",889 N San Antonio Rd UNIT 2010,Los Altos,CA,94022,2,2,1124,CONDO,RECENTLY_SOLD
"$965,000 ",965000,"150 W Edith Ave APT 7, Los Altos, CA 94022",150 W Edith Ave APT 7,Los Altos,CA,94022,2,2,1086,CONDO,RECENTLY_SOLD
$1.90M,1898000,"51 Los Altos Sq, Los Altos, CA 94022",51 Los Altos Sq,Los Altos,CA,94022,2,2,1444,CONDO,RECENTLY_SOLD
$2.50M,2500000,"16 Bay Tree Ln, Los Altos, CA 94022",16 Bay Tree Ln,Los Altos,CA,94022,2,2,1856,CONDO,RECENTLY_SOLD
$1.80M,1805000,"5100 El Camino Real APT 108, Los Altos, CA 94022",5100 El Camino Real APT 108,Los Altos,CA,94022,3,2,1470,CONDO,RECENTLY_SOLD
$1.47M,1465000,"4388 El Camino Real UNIT 228, Los Altos, CA 94022",4388 El Camino Real UNIT 228,Los Altos,CA,94022,2,2,1200,CONDO,RECENTLY_SOLD
$1.66M,1660000,"100 1st St UNIT 207, Los Altos, CA 94022",100 1st St UNIT 207,Los Altos,CA,94022,1,2,1156,CONDO,RECENTLY_SOLD
$1.05M,1050000,"150 W Edith Ave APT 35, Los Altos, CA 94022",150 W Edith Ave APT 35,Los Altos,CA,94022,2,2,1086,CONDO,RECENTLY_SOLD
$1.64M,1635000,"494 Lassen St #1, Los Altos, CA 94022",494 Lassen St #1,Los Altos,CA,94022,2,3,1455,CONDO,RECENTLY_SOLD
$1.18M,1180000,"1070 Mercedes Ave APT 11, Los Altos, CA 94022",1070 Mercedes Ave APT 11,Los Altos,CA,94022,2,2,960,CONDO,RECENTLY_SOLD
"$990,000 ",990000,"4388 El Camino Real UNIT 208, Los Altos, CA 94022",4388 El Camino Real UNIT 208,Los Altos,CA,94022,1,1,787,APARTMENT,RECENTLY_SOLD
$2.20M,2200000,"396 1st St #16, Los Altos, CA 94022",396 1st St #16,Los Altos,CA,94022,2,2,1781,CONDO,RECENTLY_SOLD
$1.86M,1858000,"396 1st St #13, Los Altos, CA 94022",396 1st St #13,Los Altos,CA,94022,2,2,1406,CONDO,RECENTLY_SOLD
$1.30M,1300000,"480 Lassen St APT 4, Los Altos, CA 94022",480 Lassen St APT 4,Los Altos,CA,94022,2,2,1284,CONDO,RECENTLY_SOLD
$1.60M,1600000,"50 W Edith Ave APT 5, Los Altos, CA 94022",50 W Edith Ave APT 5,Los Altos,CA,94022,2,2,1562,CONDO,RECENTLY_SOLD
$1.07M,1073000,"1070 Mercedes Ave APT 26, Los Altos, CA 94022",1070 Mercedes Ave APT 26,Los Altos,CA,94022,2,1.5,960,APARTMENT,RECENTLY_SOLD
$1.41M,1412500,"100 Lyell St, Los Altos, CA 94022",100 Lyell St,Los Altos,CA,94022,2,2,1170,CONDO,RECENTLY_SOLD
$1.77M,1769000,"1 W Edith Ave APT D220, Los Altos, CA 94022",1 W Edith Ave APT D220,Los Altos,CA,94022,1,2,1345,CONDO,RECENTLY_SOLD
$2.05M,2050000,"1 W Edith Ave APT C116, Los Altos, CA 94022",1 W Edith Ave APT C116,Los Altos,CA,94022,3,2,1615,CONDO,RECENTLY_SOLD
$48.0M,48000000,"5150 El Camino Real, Los Altos, CA 94022",5150 El Camino Real,Los Altos,CA,94022,,,79150,CONDO,RECENTLY_SOLD
$5.61M,5605000,"1452 Club View Ter, Los Altos, CA 94024",1452 Club View Ter,Los Altos,CA,94024,,,,CONDO,RECENTLY_SOLD
